epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0021,1.10475,1.79496,1.07754,0.75832,0.07612,0.16867,0.12383,0.96227,2.63665,0.98717,0.000543038,0.000543038,0.000543038
2,48.9827,0.96367,1.05489,1.0276,0.64361,0.35972,0.38157,0.2605,1.09294,1.72689,1.01353,0.00106245,0.00106245,0.00106245
3,71.2316,0.98462,0.99024,1.02732,0.79791,0.4408,0.45983,0.32514,0.97974,1.15105,0.98172,0.00154518,0.00154518,0.00154518
4,90.3923,0.94991,0.97711,1.03052,0.67867,0.45025,0.48991,0.35576,0.9371,1.01037,1.00721,0.00150197,0.00150197,0.00150197
5,110.902,0.94409,0.90906,1.01696,0.80733,0.4344,0.48945,0.37093,0.86525,0.87973,0.96286,0.00144696,0.00144696,0.00144696
6,130.124,0.90715,0.87223,0.99639,0.78193,0.4498,0.52784,0.37847,0.93548,0.92957,0.97647,0.00139195,0.00139195,0.00139195
7,149.258,0.89437,0.85251,1.00294,0.75136,0.462,0.52294,0.38609,0.92196,0.84085,0.95953,0.00133693,0.00133693,0.00133693
8,169.52,0.8569,0.82213,0.98015,0.70628,0.48739,0.52702,0.38388,0.96619,0.86048,0.96871,0.00128192,0.00128192,0.00128192
9,188.452,0.83359,0.81926,0.9935,0.76973,0.44285,0.521,0.39345,0.85041,0.81553,0.94353,0.00122691,0.00122691,0.00122691
10,208.968,0.86888,0.80584,0.98623,0.85176,0.45545,0.52188,0.37919,0.93266,0.86101,0.9588,0.0011719,0.0011719,0.0011719
11,228.263,0.81603,0.75856,0.9679,0.64186,0.52481,0.54473,0.41328,0.78637,0.76132,0.92101,0.00111689,0.00111689,0.00111689
12,247.362,0.79336,0.74119,0.96766,0.73906,0.5077,0.55938,0.42395,0.76672,0.76076,0.92197,0.00106188,0.00106188,0.00106188
13,267.919,0.78808,0.72603,0.96056,0.69645,0.52108,0.55464,0.42613,0.7788,0.74665,0.92047,0.00100687,0.00100687,0.00100687
14,286.795,0.76737,0.69855,0.9495,0.69594,0.51519,0.56075,0.43729,0.7677,0.73626,0.91389,0.000951857,0.000951857,0.000951857
15,306.617,0.77416,0.69761,0.95064,0.77291,0.51136,0.55712,0.4413,0.72108,0.71346,0.90862,0.000896846,0.000896846,0.000896846
16,326.518,0.75886,0.68553,0.94394,0.71588,0.53085,0.55395,0.41718,0.84723,0.75405,0.93545,0.000841835,0.000841835,0.000841835
17,345.614,0.7257,0.65181,0.93056,0.75299,0.51223,0.56226,0.44476,0.69443,0.67417,0.89694,0.000786824,0.000786824,0.000786824
18,366.288,0.71285,0.64192,0.92841,0.72697,0.52555,0.56904,0.44261,0.76039,0.70089,0.89545,0.000731813,0.000731813,0.000731813
19,385.211,0.70173,0.63651,0.92943,0.66596,0.53067,0.55715,0.44656,0.68765,0.6539,0.88346,0.000676802,0.000676802,0.000676802
20,404.012,0.69552,0.62342,0.92616,0.77888,0.5246,0.56523,0.45151,0.68109,0.65545,0.88497,0.000621791,0.000621791,0.000621791
21,425.954,0.69329,0.68111,0.91162,0.71444,0.52202,0.55603,0.4461,0.6867,0.69683,0.89169,0.00056678,0.00056678,0.00056678
22,444.493,0.66612,0.63325,0.89738,0.71757,0.51176,0.5612,0.44883,0.70394,0.6691,0.88787,0.000511769,0.000511769,0.000511769
23,464.208,0.65079,0.60153,0.89106,0.72266,0.53425,0.5669,0.44972,0.68089,0.64455,0.88294,0.000456758,0.000456758,0.000456758
24,482.832,0.64774,0.59182,0.89412,0.76784,0.49638,0.55701,0.45593,0.65129,0.6324,0.87796,0.000401747,0.000401747,0.000401747
25,501.429,0.62313,0.57056,0.88415,0.71007,0.52937,0.57802,0.4674,0.64945,0.6124,0.87176,0.000346736,0.000346736,0.000346736
26,521.602,0.61894,0.55925,0.88178,0.77195,0.53126,0.56776,0.45951,0.66836,0.62528,0.87977,0.000291725,0.000291725,0.000291725
27,540.145,0.60463,0.538,0.87347,0.73354,0.54674,0.57631,0.46468,0.65198,0.61635,0.87433,0.000236714,0.000236714,0.000236714
28,558.462,0.59229,0.52709,0.86939,0.68058,0.56449,0.58405,0.47908,0.63051,0.60224,0.86894,0.000181703,0.000181703,0.000181703
29,578.326,0.58669,0.51939,0.86642,0.75334,0.54859,0.58636,0.48309,0.62443,0.58943,0.8682,0.000126692,0.000126692,0.000126692
30,596.807,0.58191,0.51357,0.86555,0.70176,0.55363,0.58404,0.47894,0.62285,0.59423,0.86527,7.1681e-05,7.1681e-05,7.1681e-05
